-,# name,ra,dec,mass,radius,orbital_period,semi_major_axis,eccentricity,inclination,star_distance,discovered
planet,NGTS-11 b,23.52083334,-14.41916668,0.37,0.823,35.455285,0.2,0.11,89.12,191.5,2020
planet,NGTS-11 c,23.52083334,-14.41916668,-,0.419,12.77,-,-,-,191.5,2022
planet,NGTS-12 b,176.25,-35.64055557,0.208,1.048,7.532806,0.0757,-,88.9,452,2020
planet,NGTS-13 b,176.2416667,-38.13972223,4.84,1.142,4.119027,0.0549,0.086,88.7,657,2021
planet,NGTS-14A b,328.5166667,-38.37750002,0.092,0.44,3.5357173,0.0403,0,86.7,325.1,2021
planet,NGTS-15 b,73.35416668,-32.80027779,0.751,1.1,3.27623,0.0441,0,-,791,2021
planet,NGTS-16 b,58.2625,-30.80472224,0.667,1.3,4.84532,0.0523,0,-,892,2021
planet,NGTS-17 b,72.90000001,-34.22611112,0.764,1.24,3.24253,0.0391,0,-,1047,2021
planet,NGTS-18 b,180.5458333,-35.54861113,0.409,1.21,3.05125,0.0448,0,-,1108,2021
planet,NGTS-2 b,215.125,-31.20194445,0.67,1.536,4.5111204,0.0584,0,87.66,360.3,2018
planet,NGTS-3A b,94.444801,-35.706394,2.38,1.48,1.6753728,0.023,0,89.56,1010,2018
planet,NGTS-4 b,89.60000001,-30.81194447,0.0648,0.2837,1.3373508,0.019,0,82.5,282.6,2018
planet,NGTS-5 b,221.0583333,5.605277794,0.229,1.136,3.3569866,0.0382,0,86.6,309.5,2019
planet,NGTS-6 b,75.79583334,-30.39944447,1.33,1.271,0.882058,0.016623018,0,80.23,311,2019
planet,NGTS-7A b,352.5216666,-38.96992065,62,1.07,0.67599,0.0139,-,88.4352,152.67,2019
planet,NGTS-8 b,328.975,-14.06833334,0.93,1.09,2.4997,0.035,0.01,86.9,434.273,2019
planet,NGTS-9 b,141.9208333,-19.34722224,2.9,1.07,4.43527,0.058,0.06,84.1,619.732,2019
planet,NLTT 25473 b,162.545014,-14.0768777,15,-,1.48,-,-,-,109.38,2001
planet,NLTT 41135 b,236.5166667,4.691666687,33.7,1.13,2.889475,0.024,-,87.42,22.7,2010
planet,NLTT 5306 b,23.88739682,14.76552768,56,-,1.698,0.00263,-,-,77.9678,2013
planet,NN Ser (AB) c,238.2333333,12.9130556,6.91,-,5660,5.38,0,-,500,2010
planet,NN Ser (AB) d,238.2333333,12.9130556,2.28,-,2830,3.39,0.2,-,500,2009
planet,NSVS 1425 (AB) d,305,4.6325,-,-,3317.7,3.12,0.12,-,-,2017
planet,NY Vir (AB) b,204.7,-2.0302778,2.78,-,2987.745,3.39,-,-,-,2011
planet,NY Vir (AB) c,204.7,-2.0302778,4.49,-,9861.75,7.54,-,-,-,2011
planet,OGLE--2018-BLG-0516 b,269.6416667,-31.26250002,0.0632,-,-,2.2,-,-,7000,2021
planet,OGLE-2003-BLG-235L b,271.3166667,-28.895,2.6,-,-,5.1,-,-,5200,2004
planet,OGLE-2005-071L b,267.5375,-34.6730556,3.5,-,3600,3.6,-,-,3300,2005
planet,OGLE-2005-169L b,271.5208333,-30.7325,0.0444,-,-,4,-,-,4100,2005
planet,OGLE-2005-390L b,268.5791667,-30.3772222,0.017,-,3500,2.1,-,-,6500,2005
planet,OGLE-2006-109L b,268.1458333,-30.0877778,0.727,-,1790,2.3,-,64,1510,2008
planet,OGLE-2006-109L c,268.1458333,-30.0877778,0.271,-,4931,4.5,0.15,64,1510,2008
planet,OGLE-2006-BLG-284 b,269.6583333,-29.13666667,0.453,-,-,2.2,-,-,4000,2020
planet,OGLE-2007-BLG-349L (AB) b,271.35,-26.42194446,0.25,-,-,2.59,-,-,2760,2016
planet,OGLE-2007-BLG-368L b,269.1083333,-32.2375,0.0694,-,-,3.3,-,-,5900,2008
